Additional file 6 Relative abundance of each microbiota at genus level,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
taxonomy,Median (Interquatile range),,,,,,,,,,,,,,
,all subject,Group 1,Group 2,Group 3,Group 4,Group 10,Group 20,Group 30,Group 40,Group 50,Group 60,Group 70,Group 80,Group 90,Group 100
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,1.11(1.85-10.48),0.01(0-0.03),0(0-0.05),1.01(0.34-0),1.04(0.32-1.45),1.05(0.94-1.82),1.3(0.44-2.08),1.32(0.67-1.93),1.46(1.01-2.37),1.29(0.72-1.93),1.11(0.67-1.89),1.27(0.69-1.94),1.11(0.63-1.64),1(0.79-1.92),0.36(0.16-0.91)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__,0.98(2.67-30),0.01(0-0.03),0.28(0.07-0.83),2.15(1.26-0.35),3.6(1.5-5.31),0.7(0.32-2.18),0.44(0.17-0.99),0.93(0.28-1.88),0.64(0.16-1.21),0.58(0.18-1.32),0.92(0.39-2.64),1.67(0.63-3.01),2.12(1-4.79),3.91(0.67-7.76),0.39(0.28-0.81)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,0.92(2.43-17.28),0(0-0.01),0.03(0-0.09),0.2(0.07-0),0.48(0.25-1.1),0.79(0.12-1.85),1.24(0.19-2.29),1.73(0.13-3.26),1.99(0.17-4.63),1.68(0.28-3.64),1.37(0.51-1.96),1.08(0.45-2.51),0.99(0.46-2.06),0.73(0.13-1.08),0.12(0.02-0.25)
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,0.53(1.66-27.93),0(0-0.03),0.05(0.01-0.17),0.66(0.34-0.11),0.53(0.14-1.01),0.6(0.19-0.9),0.71(0.24-3.78),0.77(0.16-2.73),1.03(0.24-1.87),0.68(0.11-1.48),0.24(0.07-1.74),0.49(0.15-0.89),0.2(0.09-0.6),0.85(0.36-1.15),0.93(0.19-1.69)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,0.39(0.72-4.95),0(0-0),0(0-0.01),0.18(0.03-0),0.43(0.1-0.54),0.19(0.11-0.28),0.32(0.2-0.67),0.37(0.15-0.6),0.32(0.17-0.65),0.27(0.09-0.52),0.45(0.25-0.65),0.45(0.29-1.01),0.74(0.44-1.55),2.32(0.93-2.73),0.53(0.33-0.76)
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,0.36(1.04-17.37),0(0-0.02),0(0-0),0(0-0),0.03(0-0.41),0.17(0.04-0.34),0.44(0.11-1.27),0.31(0.03-0.62),0.14(0.01-0.42),0.17(0.05-0.51),0.42(0.06-1.44),0.94(0.3-1.98),1.01(0.58-1.83),1.89(0.71-2.76),2.05(0.43-7.19)
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],0.28(1.2-30.34),0(0-0.01),0.09(0-0.48),0.28(0.16-0.02),0.31(0.09-0.6),0.47(0.13-0.76),0.34(0.09-0.97),0.16(0.06-0.68),0.21(0.08-1.16),0.3(0.07-1.43),0.36(0.11-5.26),0.32(0.12-3.2),0.34(0.14-2.45),0.73(0.27-1.26),1.43(0.47-2.35)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,0.26(0.48-14),0(0-0),0(0-0.04),0.09(0.03-0),0.15(0.09-0.25),0.19(0.14-0.2),0.3(0.22-0.44),0.3(0.17-0.5),0.32(0.21-0.5),0.29(0.23-0.52),0.57(0.29-0.73),0.33(0.13-0.49),0.34(0.22-0.53),0.15(0.08-0.51),0.06(0.01-0.11)
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,0.18(0.59-4.56),0(0-0),0(0-0),0(0-0),0(0-0),0.1(0-0.53),0.43(0.05-0.83),0.46(0.04-0.82),0.11(0-0.94),0.54(0.09-0.89),0.25(0.06-0.52),0.09(0.03-0.36),0.16(0.08-0.39),0.26(0.05-0.53),0(0-0.05)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,0.1(0.25-3.21),0(0-0),0(0-0),0.02(0-0),0.03(0-0.17),0.03(0-0.17),0.07(0-0.22),0.1(0.03-0.24),0.13(0.03-0.26),0.09(0-0.22),0.22(0.12-0.38),0.11(0-0.24),0.18(0.09-0.38),0.32(0.13-0.62),0.05(0.02-0.08)
